"date"	"Qmm"	"P"	"T"	"E"
1990-02-26	NA	0	11.99583885	3.39
1990-02-27	NA	0.05	11.20257445	2.42
1990-02-28	NA	0.65	8.8034083	1.73
1990-03-01	NA	0	10.2870572	3.3
1990-03-02	NA	0	11.1216214	2.92
1990-03-03	NA	0	11.0320123	3.09
1990-03-04	NA	0	10.4715406	2.55
1990-03-05	NA	0	9.7325965	2.59
1990-03-06	NA	0	10.4404825	2.9
1990-03-07	NA	0	10.5026132	2.71
1990-03-08	1.748	0	10.3059226	2.52
1990-03-09	1.844	0	12.30587695	3.35
1990-03-10	1.874	0	13.97288855	3.44
1990-03-11	1.964	0	13.6808053	3.12
1990-03-12	2.018	0	13.0010898	3.14
1990-03-13	2.066	0	12.79940965	2.88
1990-03-14	2.036	0	12.3149715	2.75
1990-03-15	1.946	0	11.6792899	2.57
1990-03-16	1.778	0	10.87209725	2.37
1990-03-17	1.718	0	10.69456995	2.59
1990-03-18	1.676	0	10.4883169	2.56
1990-03-19	1.657	0	11.5931537	2.86
1990-03-20	1.657	0	13.01379475	3.17
1990-03-21	1.73	0	13.5506464	2.98
1990-03-22	1.766	0	10.2988056	1.49
1990-03-23	1.543	0	9.8021842	2.51
1990-03-24	1.525	0	9.27848105	2.22
1990-03-25	1.369	0	8.17603085	2.16
1990-03-26	1.321	0	7.60705435	2.3
1990-03-27	1.291	0	8.58907655	2.18
1990-03-28	1.225	51.63	5.44838325	0.96
1990-03-29	1.718	50.75	2.6866202	0.62
1990-03-30	1.651	1.76	3.45904488	1.34
1990-03-31	1.471	0	10.0915915	2.49
1990-04-01	1.597	0	9.2924045	1.97
1990-04-02	1.543	0	9.3208505	2.07
1990-04-03	1.501	0	7.4257126	1.19
1990-04-04	1.333	1.67	5.91099795	1.6
1990-04-05	1.219	0.89	5.00036285	1.1
1990-04-06	1.153	0.59	5.312247885	1.77
1990-04-07	1.093	0	6.9946095	1.47
1990-04-08	1.093	0	8.6759346	1.94
1990-04-09	1.123	0	9.5871301	1.93
1990-04-10	1.135	0	11.3637885	2.26
1990-04-11	1.171	0	12.1105037	2.17
1990-04-12	1.153	0	9.5036561	1.52
1990-04-13	1.063	0	9.34523345	1.8
1990-04-14	1.057	0.34	8.82570285	1.73
1990-04-15	1.057	9.89	5.872676	1.04
1990-04-16	1.069	14.22	4.01881945	0.86
1990-04-17	1.057	0	6.21649919	1.84
1990-04-18	1.075	0	8.28556615	1.56
1990-04-19	1.027	0	6.5662731	1.41
1990-04-20	1.009	0	5.66263925	1.41
1990-04-21	1.021	0	5.7059523	1.32
1990-04-22	1.003	0.53	4.68178365	1.12
1990-04-23	0.991	6.93	4.74797465	1.14
1990-04-24	1.009	5.48	5.09761255	1.18
1990-04-25	1.003	8.35	2.46822923	0.84
1990-04-26	0.961	0	1.4112786	1.02
1990-04-27	0.919	0	2.3281319	1.28
1990-04-28	0.913	0	1.7853255	1.1
1990-04-29	0.913	0	3.509825	1.46
1990-04-30	0.895	0	4.59461437	1.26
1990-05-01	0.883	0	3.899427405	1.27
1990-05-02	0.877	11.08	4.29304375	1.08
1990-05-03	0.883	2.8	3.01453647	0.91
1990-05-04	0.871	0	4.6345166	0.97
1990-05-05	0.871	0.97	5.10025435	1.02
1990-05-06	0.865	0	6.721609	1.26
1990-05-07	0.877	0	6.6120048	1.46
1990-05-08	0.859	27.39	6.6969661	1.1
1990-05-09	1.615	45.63	2.70267715	0.61
1990-05-10	1.573	0	3.877041935	1.03
1990-05-11	1.141	0	5.0936635	1.11
1990-05-12	1.039	0	4.23155303	1.09
1990-05-13	1.015	0	2.037617035	0.83
1990-05-14	0.973	0	1.36508585	0.93
1990-05-15	0.937	0	2.7059254	1.04
1990-05-16	0.907	0	1.2970934	0.87
1990-05-17	0.889	0	3.0616909	1.09
1990-05-18	0.901	0	7.3575296	1.42
1990-05-19	0.925	0	7.29746655	1.22
1990-05-20	0.895	0	1.3774373	0.99
1990-05-21	0.883	0	7.18778269	1.49
1990-05-22	0.889	0	10.3134236	1.51
1990-05-23	0.901	0	8.97689535	1.3
1990-05-24	0.889	0	7.2731886	1.13
1990-05-25	0.859	0	7.14002625	1.12
1990-05-26	0.847	0.73	1.44829485	0.75
1990-05-27	0.822	0	-0.1786225	0.96
1990-05-28	0.828	0	0.93515305	0.78
1990-05-29	0.804	9.29	-2.696582265	0.53
1990-05-30	0.81	0	-3.292062624	0.59
1990-05-31	0.786	0	-0.2562207	0.83
1990-06-01	0.786	0	1.36349995	0.74
1990-06-02	0.798	6.19	0.674342735	0.45
1990-06-03	0.834	4.57	-0.0235564	0.47
1990-06-04	0.81	0	-1.6242568	0.66
1990-06-05	0.792	0	-2.0023266	0.75
1990-06-06	0.792	0	2.066896	0.87
1990-06-07	0.774	0	4.44479302	0.94
1990-06-08	0.75	0	4.433331835	0.89
1990-06-09	0.768	0	5.7580457	0.98
1990-06-10	0.78	0	6.1357647	1.04
1990-06-11	0.78	0	4.761456405	0.94
1990-06-12	0.774	0	3.95008841	0.88
1990-06-13	0.78	0	3.82911759	0.79
1990-06-14	0.816	0	4.388121	0.84
1990-06-15	0.804	0	7.86292225	1.19
1990-06-16	0.78	0	7.932745	1.13
1990-06-17	0.768	0	5.3495557	0.86
1990-06-18	0.762	0	2.69150786	0.59
1990-06-19	0.744	0	3.422533106	0.82
1990-06-20	0.744	0	5.60879275	1.07
1990-06-21	0.726	5.44	6.2359658	0.97
1990-06-22	0.78	21.85	1.082665725	0.52
1990-06-23	0.871	0	-0.5363005	0.6
1990-06-24	0.792	0	1.07049385	0.72
1990-06-25	0.774	0	3.51860596	0.86
1990-06-26	0.798	0	4.439517185	0.88
1990-06-27	0.774	0	4.047824915	0.84
1990-06-28	0.756	0	4.326840665	0.95
1990-06-29	0.744	0	6.0556335	1.14
1990-06-30	0.75	0	4.442082235	0.92
1990-07-01	0.732	1.01	2.728262105	0.76
1990-07-02	0.72	0	1.6222118	0.88
